date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:14:50	407/407	---MCZ	200	added ('OK')	image/svg+xml	date:Thu,%2024%20Mar%202022%2017:23:20%20GMT	https://uigator.com/assan/5.1/public/assets/img/companies/dropbox.svg	C:/Users/HIGH-TECH%20CORP'S/Desktop/all/assan/assan/uigator.com/assan/5.1/public/assets/img/companies/dropbox.svg	(from https://uigator.com/assan/5.1/public/demo-jobs.html)
16:14:51	162/162	---MCZ	200	added ('OK')	image/svg+xml	date:Thu,%2024%20Mar%202022%2017:25:46%20GMT	https://uigator.com/assan/5.1/public/assets/img/companies/netflix.svg	C:/Users/HIGH-TECH%20CORP'S/Desktop/all/assan/assan/uigator.com/assan/5.1/public/assets/img/companies/netflix.svg	(from https://uigator.com/assan/5.1/public/demo-jobs.html)
16:14:52	842/842	---MCZ	200	added ('OK')	image/svg+xml	date:Thu,%2024%20Mar%202022%2017:21:56%20GMT	https://uigator.com/assan/5.1/public/assets/img/companies/github.svg	C:/Users/HIGH-TECH%20CORP'S/Desktop/all/assan/assan/uigator.com/assan/5.1/public/assets/img/companies/github.svg	(from https://uigator.com/assan/5.1/public/demo-jobs.html)
16:14:52	620/620	---MCZ	200	added ('OK')	image/svg+xml	date:Thu,%2024%20Mar%202022%2017:26:08%20GMT	https://uigator.com/assan/5.1/public/assets/img/companies/tiktok.svg	C:/Users/HIGH-TECH%20CORP'S/Desktop/all/assan/assan/uigator.com/assan/5.1/public/assets/img/companies/tiktok.svg	(from https://uigator.com/assan/5.1/public/demo-jobs.html)
16:14:53	944/944	---MCZ	200	added ('OK')	image/svg+xml	date:Thu,%2024%20Mar%202022%2017:24:24%20GMT	https://uigator.com/assan/5.1/public/assets/img/companies/dribbble.svg	C:/Users/HIGH-TECH%20CORP'S/Desktop/all/assan/assan/uigator.com/assan/5.1/public/assets/img/companies/dribbble.svg	(from https://uigator.com/assan/5.1/public/demo-jobs.html)
16:14:54	1512/1512	---MCZ	200	added ('OK')	image/svg+xml	date:Thu,%2024%20Mar%202022%2017:23:50%20GMT	https://uigator.com/assan/5.1/public/assets/img/companies/airbnb.svg	C:/Users/HIGH-TECH%20CORP'S/Desktop/all/assan/assan/uigator.com/assan/5.1/public/assets/img/companies/airbnb.svg	(from https://uigator.com/assan/5.1/public/demo-jobs.html)
16:14:55	1907/1907	---MCZ	200	added ('OK')	image/svg+xml	date:Mon,%2004%20Apr%202022%2017:57:48%20GMT	https://uigator.com/assan/5.1/public/assets/img/vectors/sparkles.svg	C:/Users/HIGH-TECH%20CORP'S/Desktop/all/assan/assan/uigator.com/assan/5.1/public/assets/img/vectors/sparkles.svg	(from https://uigator.com/assan/5.1/public/demo-jobs.html)
16:15:00	82409/82409	---M--	200	added ('OK')	image/jpeg	date:Thu,%2008%20Apr%202021%2018:01:12%20GMT	https://uigator.com/assan/5.1/public/assets/img/avatar/1.jpg	C:/Users/HIGH-TECH%20CORP'S/Desktop/all/assan/assan/uigator.com/assan/5.1/public/assets/img/avatar/1.jpg	(from https://uigator.com/assan/5.1/public/index-landing-classic.html)
16:15:03	403253/403253	---M--	200	added ('OK')	image/png	date:Tue,%2009%20Nov%202021%2001:04:14%20GMT	https://uigator.com/assan/5.1/public/assets/img/backgrounds/trans3.png	C:/Users/HIGH-TECH%20CORP'S/Desktop/all/assan/assan/uigator.com/assan/5.1/public/assets/img/backgrounds/trans3.png	(from https://uigator.com/assan/5.1/public/index-landing-startup.html)
16:15:22	93/93	---MCZ	302	error ('Found')	text/plain	date:Thu,%2006%20Jul%202023%2015:15:23%20GMT	https://unpkg.com/filepond-plugin-file-poster/dist/filepond-plugin-file-poster.css	C:/Users/HIGH-TECH%20CORP'S/Desktop/all/assan/assan/unpkg.com/filepond-plugin-file-poster/dist/filepond-plugin-file-poster.212.delayed	(from https://uigator.com/assan/5.1/public/page-profile-settings.html)
